task_id,target_cluster,subset_bucket,subset_priority,run_in_round1c,report_in_aggregate,report_as,total_runs,memory_runs,memory_verbalized_runs,explicit_use_runs,explicit_reject_runs,outcome_changed_runs,improved_runs,degraded_runs,answer_changed_runs,notes
wiki_dev_8896,comparison,process_sanity,primary,yes,no,process_case,6,4,2,1,1,0,0,0,0,primary sanity check for explicit use vs explicit reject without outcome movement
wiki_dev_10727,comparison,process_sanity,secondary,yes,no,process_case,6,4,1,1,0,0,0,0,0,ceiling sanity case; useful for separating verbalized use from real outcome dependence
