task_id,target_cluster,subset_bucket,subset_priority,run_in_round1c,report_in_aggregate,report_as,total_runs,memory_runs,memory_verbalized_runs,explicit_use_runs,explicit_reject_runs,outcome_changed_runs,improved_runs,degraded_runs,answer_changed_runs,notes
wiki_dev_0092,bridge,audit_boundary,primary,yes,no,audit_case,6,4,2,1,1,0,0,0,0,benchmark ambiguity case; retain only for use/reject/ignore observation
wiki_dev_6083,bridge,audit_boundary,primary,yes,no,boundary_case,6,4,0,0,0,0,0,0,0,country vs demonym scoring boundary; retain only for normalization audit
